bra_state,bra_display,import_val
Espírito Santo,Vitória - ES,98420224
Rio Grande do Sul,Guaíba - RS,60987969
Paraná,São José dos Pinhais - PR,59856780
Bahia,Camaçari - BA,55118126
Goiás,Anápolis - GO,53300104
Rio de Janeiro,Duque de Caxias - RJ,39696699
Minas Gerais,Betim - MG,35507254
São Paulo,Iracemápolis - SP,33162847
Goiás,Catalão - GO,26906008
Rio de Janeiro,Porto Real - RJ,17685133
Espírito Santo,Cariacica - ES,17199673
Pernambuco,Cabo de Santo Agostinho - PE,17158525
Santa Catarina,Joinville - SC,14711950
PernambucoIpojuca - PE,13542323
Rio de Janeiro,Resende - RJ,12407409
Minas Gerais,Extrema - MG,12337121
São Paulo,São José dos Campos - SP,6349705
Rio Grande do Sul,Gravataí - RS,5722308
Minas Gerais,Juiz de Fora - MG,2938350
Santa Catarina,Itajaí - SC,1121980
São Paulo,Indaiatuba - SP,933004
São Paulo,São Paulo - SP,487412
